# bhbm_obs_combined.csv -- black hole vs bulge mass, individual galaxies
# Scott+2013 (75) + Davis+2019 (41 spirals, 3 bulgeless dropped) + Sahu+2019 (41 E/S0) = 157 galaxies; rebuilt by build_bhbm_obs_combined.py
# log10(Msph/Msun)  log10(MBH/Msun)  err_Msph  err_MBH
  7.9600   4.8500   0.2700   0.1300
  9.1300   7.6000   0.2600   0.0600
  9.3900   6.1500   0.1900   0.3000
  9.4000   7.0000   0.2600   0.3000
  9.4200   6.5800   0.1000   0.1650
  9.4200   7.7100   0.2500   0.1650
  9.4407   6.1097   0.3979   0.3010
  9.4407   7.5656   0.3979   0.0497
  9.4600   8.7600   0.3300   0.2400
  9.5076   7.1396   0.3967   0.3406
  9.5500   6.0700   0.2200   0.1500
  9.5546   7.1097   0.3891   0.6021
  9.5970   6.7417   0.3995   0.1032
  9.6263   8.1097   0.4008   0.1602
  9.6300   6.4900   0.3900   0.2000
  9.6700   7.6300   0.2600   0.3300
  9.7117   7.5546   0.3987   0.0111
  9.7400   6.9500   0.2000   0.0500
  9.7489   6.9636   0.4168   0.3010
  9.7600   7.0000   0.0900   0.3000
  9.7700   7.2800   0.2600   0.3500
  9.7765   8.6168   0.3959   0.1777
  9.7831   7.8269   0.3905   0.2863
  9.7831   6.7270   0.3986   0.0603
  9.8100   6.8900   0.1000   0.0900
  9.8600   7.0200   0.3100   0.1350
  9.8700   7.1500   0.2600   0.1800
  9.8900   7.2600   0.1100   0.0350
  9.8900   6.8400   0.2600   0.0800
  9.8900   6.7800   0.0900   0.1000
  9.8980   6.8269   0.3911   0.0905
  9.9000   6.5100   0.2000   0.0450
  9.9000   6.3300   0.1100   0.1150
  9.9080   6.3438   0.3891   0.3010
  9.9080   8.2188   0.3972   0.1021
  9.9100   7.8400   0.2600   0.1700
  9.9178   7.7344   0.3702   0.0467
  9.9200   6.3800   0.2500   0.1200
  9.9320   7.1097   0.3968   0.2386
  9.9400   8.6500   0.2500   0.1800
  9.9600   6.6000   0.0500   0.0200
  9.9636   6.1677   0.3979   0.1109
  9.9636   7.8269   0.3979   0.0000
  9.9700   7.3600   0.2800   0.1500
  9.9800   6.9700   0.2000   0.0900
 10.0100   7.5100   0.1500   0.0600
 10.0400   7.8800   0.1700   0.1350
 10.0400   7.7200   0.1300   0.0500
 10.0427   7.0049   0.3891   0.0198
 10.0427   7.1940   0.3817   0.0396
 10.0500   7.6000   0.1800   0.0100
 10.0570   8.2646   0.3752   0.1109
 10.0700   6.9000   0.2200   0.1100
 10.0775   7.7765   0.4031   0.0470
 10.1097   7.7039   0.3767   0.1761
 10.1097   7.6168   0.3767   0.1242
 10.1097   8.8720   0.4225   0.1060
 10.1097   7.7831   0.3830   0.0198
 10.1097   7.0775   0.2559   0.3116
 10.1100   7.1300   0.1600   0.0800
 10.1100   8.2600   0.3300   0.1100
 10.1100   8.1500   0.0900   0.1650
 10.1200   6.2500   0.2000   0.1100
 10.1200   8.4100   0.2600   0.2200
 10.1500   7.6700   0.2000   0.0850
 10.1600   7.8300   0.1100   0.0900
 10.1800   7.0600   0.1400   0.0500
 10.2188   7.8612   0.4041   0.2027
 10.2200   8.7600   0.2600   0.0500
 10.2200   7.1100   0.3400   0.2000
 10.2300   8.2300   0.1300   0.0750
 10.2300   7.4900   0.1200   0.1050
 10.2423   8.9080   0.3798   0.2444
 10.2423   7.5868   0.3798   0.0415
 10.2500   6.7800   0.4000   0.2900
 10.2646   7.7961   0.3979   0.0841
 10.2646   8.3438   0.3936   0.0546
 10.2646   7.8500   0.2634   0.0286
 10.2646   6.8826   0.3936   0.0209
 10.2700   7.6800   0.1500   0.3650
 10.2700   6.7500   0.2400   0.0800
 10.2800   8.8600   0.2600   0.4100
 10.3438   6.6070   0.3854   0.3010
 10.3500   7.4100   0.1400   0.0350
 10.3785   6.9636   0.3824   0.0043
 10.3785   8.0775   0.3824   0.1761
 10.4107   8.3785   0.2700   0.2179
 10.4300   8.3400   0.3300   0.1300
 10.4400   7.0600   0.3600   0.1650
 10.4600   8.1800   0.2600   0.0900
 10.4687   8.2646   0.2702   0.1726
 10.4821   6.8386   0.3999   0.0116
 10.4900   8.9400   0.1100   0.1000
 10.4900   9.1500   0.2600   0.0500
 10.5076   7.0427   0.3942   0.0181
 10.5199   7.4549   0.3842   0.0056
 10.5400   7.0400   0.1200   0.0850
 10.5546   8.7697   0.3891   0.0272
 10.5700   8.0300   0.2000   0.1100
