# SMF observations as plotted in SAGE26 Paper I, Figure 12.
# Generated by build_paper_observations.py -- do not hand-edit.
label z log_mass log_phi err_lo err_hi
Baldry+08 0.0500 7.06335 -1.27870 0.25877 0.16104
Baldry+08 0.0500 7.16335 -1.28053 0.25658 0.16020
Baldry+08 0.0500 7.26335 -1.08841 0.20188 0.13728
Baldry+08 0.0500 7.36335 -1.17549 0.08913 0.07392
Baldry+08 0.0500 7.46335 -1.07461 0.13498 0.10283
Baldry+08 0.0500 7.56335 -1.07467 0.08871 0.07362
Baldry+08 0.0500 7.66335 -1.09120 0.11565 0.09124
Baldry+08 0.0500 7.76335 -1.10036 0.18270 0.12821
Baldry+08 0.0500 7.86335 -1.21869 0.12622 0.09767
Baldry+08 0.0500 7.96335 -1.22727 0.08413 0.07045
Baldry+08 0.0500 8.06335 -1.23200 0.17008 0.12190
Baldry+08 0.0500 8.16335 -1.29502 0.07987 0.06744
Baldry+08 0.0500 8.26335 -1.31156 0.14460 0.10829
Baldry+08 0.0500 8.36335 -1.41672 0.14028 0.10586
Baldry+08 0.0500 8.46335 -1.46954 0.17075 0.12224
Baldry+08 0.0500 8.56335 -1.56026 0.15124 0.11196
Baldry+08 0.0500 8.66335 -1.64518 0.11327 0.08976
Baldry+08 0.0500 8.76335 -1.66140 0.11978 0.09379
Baldry+08 0.0500 8.86335 -1.69924 0.12460 0.09671
Baldry+08 0.0500 8.96335 -1.76455 0.10742 0.08605
Baldry+08 0.0500 9.06335 -1.79567 0.12328 0.09591
Baldry+08 0.0500 9.16335 -1.86647 0.09378 0.07709
Baldry+08 0.0500 9.26335 -1.89006 0.12656 0.09788
Baldry+08 0.0500 9.36335 -1.93092 0.07490 0.06386
Baldry+08 0.0500 9.46335 -1.98365 0.10027 0.08141
Baldry+08 0.0500 9.56335 -2.01811 0.08614 0.07185
Baldry+08 0.0500 9.66335 -2.05048 0.07867 0.06658
Baldry+08 0.0500 9.76335 -2.07060 0.08736 0.07270
Baldry+08 0.0500 9.86335 -2.10076 0.07653 0.06504
Baldry+08 0.0500 9.96335 -2.11055 0.06924 0.05970
Baldry+08 0.0500 10.06335 -2.13437 0.06074 0.05328
Baldry+08 0.0500 10.16335 -2.15149 0.06499 0.05652
Baldry+08 0.0500 10.26335 -2.16311 0.06407 0.05582
Baldry+08 0.0500 10.36335 -2.18950 0.06405 0.05581
Baldry+08 0.0500 10.46335 -2.20283 0.06307 0.05507
Baldry+08 0.0500 10.56335 -2.25270 0.06098 0.05346
